Year,Area,Species Name,Number Of Fish (estimated),Landed Weight (lbs),Whole Weight (lbs),Permit Count,Processor Count,Vessel Count
1987,Prince William Sound,Sockeye Salmon,1742059,11670663,11670663,862,28,1019
1987,Southeast/Yakutat,Chinook Salmon,289509,4951513,4951513,2306,87,2210
1987,Southeast/Yakutat,Chum Salmon,2721644,24113609,24112881,2193,82,2104
1987,Southeast/Yakutat,Coho Salmon,1543349,10849538,10849538,2527,95,2459
1987,Southeast/Yakutat,Pink Salmon,10280422,38021024,38021024,2369,78,2348
1987,Southeast/Yakutat,Sockeye Salmon,1377537,9202800,9202800,2093,85,2008
1987,Yukon,Chinook Salmon,131971,2852138,2852138,717,23,1
1987,Yukon,Chum Salmon,442238,3013889,3013889,733,19,1
1988,Alaska Peninsula/Aleutian Islands,Chinook Salmon,27880,476182,476182,366,26,345
1988,Alaska Peninsula/Aleutian Islands,Chum Salmon,2302034,17256923,17256923,415,30,411
1988,Alaska Peninsula/Aleutian Islands,Coho Salmon,739506,5555378,5555378,396,25,377
1988,Alaska Peninsula/Aleutian Islands,Pink Salmon,7293175,25928834,25928834,368,29,366
1988,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,3006082,18115103,18115103,426,33,428
1988,Arctic/Kotzebue,Chinook Salmon,152,2120,2120,62,5,1
1988,Arctic/Kotzebue,Chum Salmon,352833,3059615,3059615,193,6,1
1988,Bristol Bay,Chinook Salmon,45347,843838,843838,1952,56,1330
1988,Bristol Bay,Chum Salmon,1469715,10200142,10200142,2747,62,2217
1988,Bristol Bay,Coho Salmon,202698,1510971,1510971,952,37,581
1988,Bristol Bay,Pink Salmon,955589,3417196,3417196,1222,31,766
1988,Bristol Bay,Sockeye Salmon,13989796,87710953,87710953,2768,63,2210
1988,Chignik,Chinook Salmon,7296,128880,128880,101,12,108
1988,Chignik,Chum Salmon,267775,2196377,2196377,100,16,105
1988,Chignik,Coho Salmon,370420,2889427,2889427,99,14,106
1988,Chignik,Pink Salmon,2997159,10723505,10723505,101,16,105
1988,Chignik,Sockeye Salmon,795841,5714452,5714452,102,15,116
1988,Cook Inlet,Chinook Salmon,30774,889169,889169,1063,45,439
1988,Cook Inlet,Chum Salmon,1036520,8516829,8516829,1169,44,789
1988,Cook Inlet,Coho Salmon,570639,4033987,4033987,1239,46,775
1988,Cook Inlet,Pink Salmon,1395767,4570655,4570655,1261,45,728
1988,Cook Inlet,Sockeye Salmon,7164900,46829906,46829906,1306,52,825
1988,Kodiak,Chinook Salmon,22394,296062,296062,432,23,342
1988,Kodiak,Chum Salmon,1426976,12692870,12692870,523,25,410
1988,Kodiak,Coho Salmon,303343,2569089,2569089,509,27,386
1988,Kodiak,Pink Salmon,14564014,55023681,55023681,518,26,404
1988,Kodiak,Sockeye Salmon,2701276,15488333,15488333,521,27,403
1988,Kuskokwim,Chinook Salmon,74627,1055440,1055440,806,12,177
1988,Kuskokwim,Chum Salmon,1446618,9955464,9955464,813,12,192
1988,Kuskokwim,Coho Salmon,626145,4479536,4479536,804,11,176
1988,Kuskokwim,Pink Salmon,37671,132547,132547,788,9,158
1988,Kuskokwim,Sockeye Salmon,150481,1111029,1111029,803,12,172
1988,Norton Sound/Port Clarence,Chinook Salmon,4096,67148,67148,141,4,9
1988,Norton Sound/Port Clarence,Chum Salmon,107967,767168,767168,152,4,12
1988,Norton Sound/Port Clarence,Coho Salmon,37247,280658,280658,131,5,2
1988,Norton Sound/Port Clarence,Pink Salmon,74604,226966,226966,137,4,1
1988,Norton Sound/Port Clarence,Sockeye Salmon,1252,8588,8588,91,4,3
1988,Prince William Sound,Chinook Salmon,31805,836321,836321,619,18,652
1988,Prince William Sound,Chum Salmon,1850523,15842699,15842699,777,22,882
1988,Prince William Sound,Coho Salmon,478531,4619227,4619227,765,16,839
1988,Prince William Sound,Pink Salmon,11831407,41240357,41240357,750,19,830
1988,Prince William Sound,Sockeye Salmon,768350,4726389,4726389,808,22,941
1988,Southeast/Yakutat,Chinook Salmon,244532,4354866,4354866,2366,89,2272
1988,Southeast/Yakutat,Chum Salmon,3534969,31883105,31883105,2398,93,2354
1988,Southeast/Yakutat,Coho Salmon,1046662,8820975,8820975,2510,94,2464
1988,Southeast/Yakutat,Pink Salmon,11207147,36632339,36632339,2443,83,2381
1988,Southeast/Yakutat,Sockeye Salmon,1460399,8850429,8850429,2051,82,1985
1988,Yukon,Chinook Salmon,100794,1970775,1970775,742,21,1
1988,Yukon,Chum Salmon,1309633,9286410,9286410,806,24,1
1988,Yukon,Coho Salmon,98142,698301,698301,597,16,1
1988,Yukon,Pink Salmon,,,,73,1,1
1989,Alaska Peninsula/Aleutian Islands,Chinook Salmon,18013,322596,322596,368,32,325
1989,Alaska Peninsula/Aleutian Islands,Chum Salmon,1151408,7850211,7850211,435,34,388
1989,Alaska Peninsula/Aleutian Islands,Coho Salmon,671394,4871667,4871667,438,23,378
1989,Alaska Peninsula/Aleutian Islands,Pink Salmon,7303461,27407569,27407569,347,29,318
1989,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,4388157,25552854,25552854,452,37,409
1989,Arctic/Kotzebue,Chinook Salmon,87,1426,1426,46,5,1
1989,Arctic/Kotzebue,Chum Salmon,256017,2174415,2174415,166,6,1
1989,Bristol Bay,Chinook Salmon,39760,763964,763964,1949,52,1301
1989,Bristol Bay,Chum Salmon,1258808,7871013,7871013,2813,56,2328
1989,Bristol Bay,Coho Salmon,239834,1782740,1782740,982,29,610
1989,Bristol Bay,Pink Salmon,438,1666,1666,139,20,63
1989,Bristol Bay,Sockeye Salmon,28735306,163891887,163891887,2839,57,2345
1989,Chignik,Chinook Salmon,3542,76698,76698,90,7,91
1989,Chignik,Chum Salmon,1624,11888,11888,88,7,90
1989,Chignik,Coho Salmon,68233,559140,559140,79,7,85
1989,Chignik,Pink Salmon,27712,94269,94269,89,7,96
1989,Chignik,Sockeye Salmon,1159287,7969280,7969280,101,8,109
1989,Cook Inlet,Chinook Salmon,28984,680120,680120,634,33,126
1989,Cook Inlet,Chum Salmon,138788,1017932,1017932,547,30,147
1989,Cook Inlet,Coho Salmon,352422,2324104,2324104,668,32,157
1989,Cook Inlet,Pink Salmon,1364673,4214764,4214764,685,29,166
1989,Cook Inlet,Sockeye Salmon,5184599,33884098,33884098,715,33,175
1989,Kodiak,Chinook Salmon,106,2037,2037,35,4,6
1989,Kodiak,Chum Salmon,19972,174674,174674,89,8,21
1989,Kodiak,Coho Salmon,2599,24427,24427,68,7,15
1989,Kodiak,Pink Salmon,6825124,20368260,20368260,90,20,20
1989,Kodiak,Sockeye Salmon,1289536,7126671,7126671,92,8,23
1989,Kuskokwim,Chinook Salmon,67003,1109710,1109710,814,8,154
1989,Kuskokwim,Chum Salmon,802199,5456031,5456031,820,10,159
1989,Kuskokwim,Coho Salmon,556312,4051405,4051405,817,7,159
1989,Kuskokwim,Pink Salmon,819,2802,2802,369,5,67
1989,Kuskokwim,Sockeye Salmon,82628,596949,596949,813,8,153
1989,Norton Sound/Port Clarence,Chinook Salmon,5707,104829,104829,103,3,1
1989,Norton Sound/Port Clarence,Chum Salmon,,,,107,2,1
1989,Norton Sound/Port Clarence,Coho Salmon,44091,336652,336652,83,3,1
1989,Norton Sound/Port Clarence,Pink Salmon,,,,2,1,1
1989,Norton Sound/Port Clarence,Sockeye Salmon,,,,52,1,1
1989,Prince William Sound,Chinook Salmon,32006,840826,840826,584,20,698
1989,Prince William Sound,Chum Salmon,1000844,8832901,8832901,651,21,819
1989,Prince William Sound,Coho Salmon,424958,3381608,3381608,578,21,685
1989,Prince William Sound,Pink Salmon,21877093,74943815,74943815,634,22,809
1989,Prince William Sound,Sockeye Salmon,1175119,7964766,7964766,722,22,969
1989,Southeast/Yakutat,Chinook Salmon,278247,5416873,5416873,2243,73,2154
1989,Southeast/Yakutat,Chum Salmon,1968885,18887471,18887471,2188,74,2151
1989,Southeast/Yakutat,Coho Salmon,2204001,15246610,15246610,2403,80,2369
1989,Southeast/Yakutat,Pink Salmon,59460203,204398659,204398659,2335,70,2306
1989,Southeast/Yakutat,Sockeye Salmon,2124736,13685061,13685061,2079,75,2035
1989,Yukon,Chinook Salmon,102280,2016204,2016204,766,21,2
1989,Yukon,Chum Salmon,1253450,9046014,9046014,808,22,2
1989,Yukon,Coho Salmon,85483,597991,597991,569,13,2
1989,Yukon,Pink Salmon,,,,2,1,1
1989,Yukon,Sockeye Salmon,,,,1,1,1
1990,Alaska Peninsula/Aleutian Islands,Chinook Salmon,28844,467986,467986,382,28,376
1990,Alaska Peninsula/Aleutian Islands,Chum Salmon,1365096,8997164,8997164,419,28,440
1990,Alaska Peninsula/Aleutian Islands,Coho Salmon,500270,3752404,3752404,434,23,418
1990,Alaska Peninsula/Aleutian Islands,Pink Salmon,3666411,11185556,11185556,357,23,373
1990,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,4814724,27616266,27616266,446,35,491
1990,Arctic/Kotzebue,Chinook Salmon,32,537,537,26,4,1
1990,Arctic/Kotzebue,Chum Salmon,163509,1461900,1461900,154,5,1
1990,Bristol Bay,Chinook Salmon,33993,577228,577228,1624,51,1036
1990,Bristol Bay,Chum Salmon,1055409,6538341,6538341,2796,62,2275
1990,Bristol Bay,Coho Salmon,103317,773297,773297,799,30,478
1990,Bristol Bay,Pink Salmon,496517,1913375,1913375,1016,27,584
1990,Bristol Bay,Sockeye Salmon,33444279,192301193,192301193,2854,63,2283
1990,Chignik,Chinook Salmon,9901,134265,134265,101,7,101
1990,Chignik,Chum Salmon,270004,1757019,1757019,101,7,106
1990,Chignik,Coho Salmon,130131,933745,933745,99,6,104
1990,Chignik,Pink Salmon,550008,1675644,1675644,101,7,109
1990,Chignik,Sockeye Salmon,2093650,13809769,13809769,102,8,113
1990,Cook Inlet,Chinook Salmon,17671,385553,385553,875,37,373
1990,Cook Inlet,Chum Salmon,361428,2573974,2573974,1142,40,741
1990,Cook Inlet,Coho Salmon,512060,3308270,3308270,1249,42,730
1990,Cook Inlet,Pink Salmon,987377,3105920,3105920,1272,36,746
1990,Cook Inlet,Sockeye Salmon,3819127,23989533,23989533,1313,41,777
1990,Kodiak,Chinook Salmon,18808,229337,229337,477,18,388
1990,Kodiak,Chum Salmon,577750,4441737,4441737,559,23,439
1990,Kodiak,Coho Salmon,293819,2417040,2417040,548,22,427
1990,Kodiak,Pink Salmon,5983812,19011963,19011963,554,21,437
1990,Kodiak,Sockeye Salmon,5248352,27310996,27310996,559,23,444
1990,Kuskokwim,Chinook Salmon,84608,1277734,1277734,817,10,81
1990,Kuskokwim,Chum Salmon,521539,3594618,3594618,824,10,82
1990,Kuskokwim,Coho Salmon,445060,2900823,2900823,816,10,1
1990,Kuskokwim,Pink Salmon,16081,51854,51854,663,8,1
1990,Kuskokwim,Sockeye Salmon,204225,1365060,1365060,813,10,64
1990,Norton Sound/Port Clarence,Chinook Salmon,8895,168745,168745,114,7,1
1990,Norton Sound/Port Clarence,Chum Salmon,65123,482060,482060,128,6,1
