Year,Species Name,Port Area,Pounds,Value
1980,"Sole, fantail",SAN FRANCISCO,Confidential,Confidential
1980,"Shark, soupfin",SANTA BARBARA,"32,764","$ 17,992.00 "
1980,"Rockfish, splitnose",FORT BRAGG,"57,443","$ 8,675.00 "
1980,Swordfish,SAN FRANCISCO,Confidential,Confidential
1980,Mussel,SANTA BARBARA,Confidential,Confidential
1980,"Rockfish, widow",MONTEREY,Confidential,Confidential
1980,"Tuna, bigeye",LOS ANGELES,Confidential,Confidential
1980,"Rockfish, copper (whitebelly)",MORRO BAY,Confidential,Confidential
1980,"Salmon, pink",SAN FRANCISCO,Confidential,Confidential
1980,"Surfperch, unspecified",MONTEREY,"2,628",$ 589.00 
1980,"Shark, spiny dogfish",SAN FRANCISCO,Confidential,Confidential
1980,"Surfperch, rainbow",MORRO BAY,Confidential,Confidential
1980,"Rockfish, splitnose",BODEGA BAY,Confidential,Confidential
1980,"Rockfish, group small",LOS ANGELES,Confidential,Confidential
1980,"Clam, California jackknife",LOS ANGELES,Confidential,Confidential
1980,"Tuna, albacore",FORT BRAGG,"325,326","$ 249,672.00 "
1980,"Croaker, white",MONTEREY,"655,630","$ 145,646.00 "
1980,"Rockfish, yellowtail",MORRO BAY,"2,281",$ 730.00 
1980,"Whiting, Pacific",FORT BRAGG,Confidential,Confidential
1980,"Octopus, unspecified",MORRO BAY,820,$ 328.00 
1980,Butterfish (Pacific pompano),SAN FRANCISCO,771,$ 348.00 
1980,"Smelt, whitebait",BODEGA BAY,Confidential,Confidential
1980,"Rockfish, gopher",MONTEREY,"86,466","$ 65,957.00 "
1980,"Whitefish, ocean",SANTA BARBARA,882,$ 299.00 
1980,"Greenling, kelp",MONTEREY,"3,086",$ 897.00 
1980,"Rockfish, yellowtail",MONTEREY,"34,442","$ 9,149.00 "
1980,"Surfperch, unspecified",MORRO BAY,"21,902","$ 18,157.00 "
1980,Sanddab,MORRO BAY,"3,824",$ 883.00 
1980,Wahoo,LOS ANGELES,Confidential,Confidential
1980,"Surfperch, rubberlip",SAN FRANCISCO,Confidential,Confidential
1980,"Clam, unspecified",SANTA BARBARA,Confidential,Confidential
1980,"Tuna, skipjack",MONTEREY,Confidential,Confidential
1980,"Halibut, California",BODEGA BAY,"28,652","$ 27,029.00 "
1980,"Shark, bigeye thresher",LOS ANGELES,Confidential,Confidential
1980,"Salmon, coho",FORT BRAGG,"54,608","$ 70,884.00 "
1980,"Clam, freshwater",BODEGA BAY,Confidential,Confidential
1980,Yellowtail,LOS ANGELES,"207,877","$ 95,849.00 "
1980,"Crayfish, signal",SACRAMENTO DELTA,"502,359","$ 198,477.00 "
1980,Sanddab,SAN DIEGO,"1,645","$ 1,825.00 "
1980,"Herring, Pacific",SANTA BARBARA,Confidential,Confidential
1980,"Crab, Dungeness",BODEGA BAY,"203,531","$ 188,555.00 "
1980,"Rockfish, group bolina",BODEGA BAY,Confidential,Confidential
1980,"Rockfish, widow",MORRO BAY,Confidential,Confidential
1980,"Lobster, California spiny",SANTA BARBARA,"112,863","$ 347,698.00 "
1980,Cabezon,BODEGA BAY,"1,168",$ 199.00 
1980,"Fish, unspecified",MORRO BAY,"18,219","$ 3,955.00 "
1980,"Squid, market",FORT BRAGG,Confidential,Confidential
1980,"Ray, unspecified",MONTEREY,Confidential,Confidential
1980,"Sheephead, California",MORRO BAY,Confidential,Confidential
1980,"Octopus, unspecified",SANTA BARBARA,444,$ 201.00 
1980,Lingcod,SANTA BARBARA,"2,453",$ 923.00 
1980,"Rockfish, unspecified",SAN DIEGO,"1,084,784","$ 487,692.00 "
1980,Silversides,EUREKA,Confidential,Confidential
1980,"Mackerel, unspecified",LOS ANGELES,"25,005",$ 491.00 
1980,Turbot,EUREKA,Confidential,Confidential
1980,"Sole, sand",MORRO BAY,"5,107","$ 1,831.00 "
1980,"Sole, English",SANTA BARBARA,"125,297","$ 37,648.00 "
1980,"Anchovy, northern",SANTA BARBARA,"22,817,061","$ 434,513.00 "
1980,"Sculpin, staghorn",SAN FRANCISCO,Confidential,Confidential
1980,"Blackfish, Sacramento",BODEGA BAY,Confidential,Confidential
1980,Cabezon,SAN FRANCISCO,"2,972",$ 498.00 
1980,"Skate, unspecified",BODEGA BAY,"4,132","$ 1,077.00 "
1980,"Sardine, Pacific",LOS ANGELES,Confidential,Confidential
1980,"Salmon, coho",EUREKA,"230,027","$ 302,355.00 "
