2705
#Preseason forecast data
#Agency; 1 = FRI, Forecaster; 1 = Hilborn/Chasco and 2 = Don
#Agency; 2 = ADFG, Forecaster; 1 = ADFG
#Agency	Forecaster	ReturnYr	Dist	SystemID	fwAge	oAge	return
1	2	1997	326	9	0	4	0
1	2	1997	326	9	1	4	0
1	2	1997	326	9	1	2	120
1	2	1997	326	9	1	3	260
2	1	1997	326	9	1	3	325
2	1	1997	326	9	1	2	127
1	2	1997	326	9	2	3	60
1	2	1997	326	9	2	1	0
1	2	1997	326	9	2	2	40
2	1	1997	326	9	2	2	28
2	1	1997	326	9	2	3	35
1	2	1998	325	1	0	3	0
1	2	1998	325	1	0	2	0
1	2	1998	325	1	0	4	0
1	2	1998	325	1	1	2	2560
1	2	1998	325	1	1	4	0
1	2	1998	325	1	1	3	1590
2	1	1998	325	1	1	2	1449
2	1	1998	325	1	1	3	1569
1	2	1998	325	1	2	1	0
1	2	1998	325	1	2	2	100
1	2	1998	325	1	2	3	50
2	1	1998	325	1	2	3	60
2	1	1998	325	1	2	2	167
1	2	1998	325	2	0	3	170
1	2	1998	325	2	0	2	0
1	2	1998	325	2	0	4	0
2	1	1998	325	2	0	0	434
1	2	1998	325	2	1	2	120
1	2	1998	325	2	1	4	0
1	2	1998	325	2	1	3	470
2	1	1998	325	2	1	3	691
2	1	1998	325	2	1	2	105
1	2	1998	325	2	2	1	0
1	2	1998	325	2	2	3	0
1	2	1998	325	2	2	2	0
2	1	1998	325	2	2	2	8
2	1	1998	325	2	2	3	10
1	2	1998	325	3	0	3	0
1	2	1998	325	3	0	2	0
1	2	1998	325	3	0	4	0
1	2	1998	325	3	1	2	220
1	2	1998	325	3	1	4	0
1	2	1998	325	3	1	3	760
2	1	1998	325	3	1	3	813
2	1	1998	325	3	1	2	236
1	2	1998	325	3	2	1	0
1	2	1998	325	3	2	3	30
1	2	1998	325	3	2	2	60
2	1	1998	325	3	2	2	40
2	1	1998	325	3	2	3	31
1	2	1998	324	4	0	3	0
1	2	1998	324	4	0	2	0
1	2	1998	324	4	0	4	0
1	2	1998	324	4	1	2	5660
1	2	1998	324	4	1	4	0
1	2	1998	324	4	1	3	580
2	1	1998	324	4	1	3	1363
2	1	1998	324	4	1	2	3519
1	2	1998	324	4	2	1	0
1	2	1998	324	4	2	3	400
1	2	1998	324	4	2	2	3690
2	1	1998	324	4	2	2	4043
2	1	1998	324	4	2	3	502
1	2	1998	324	5	0	3	0
1	2	1998	324	5	0	2	0
1	2	1998	324	5	0	4	0
1	2	1998	324	5	1	2	330
1	2	1998	324	5	1	4	0
1	2	1998	324	5	1	3	1260
2	1	1998	324	5	1	2	782
2	1	1998	324	5	1	3	1257
1	2	1998	324	5	2	1	0
1	2	1998	324	5	2	3	1160
1	2	1998	324	5	2	2	720
2	1	1998	324	5	2	3	729
2	1	1998	324	5	2	2	849
1	2	1998	324	6	0	2	0
1	2	1998	324	6	0	3	0
1	2	1998	324	6	0	4	0
1	2	1998	324	6	1	2	180
1	2	1998	324	6	1	4	0
1	2	1998	324	6	1	3	140
1	2	1998	324	6	2	1	0
1	2	1998	324	6	2	3	60
1	2	1998	324	6	2	2	190
1	2	1998	322	7	0	3	0
1	2	1998	322	7	0	2	0
1	2	1998	322	7	0	4	0
1	2	1998	322	7	1	2	770
1	2	1998	322	7	1	4	0
1	2	1998	322	7	1	3	1050
2	1	1998	322	7	1	2	682
2	1	1998	322	7	1	3	1082
1	2	1998	322	7	2	1	0
1	2	1998	322	7	2	3	3250
1	2	1998	322	7	2	2	3290
2	1	1998	322	7	2	3	3502
2	1	1998	322	7	2	2	3886
1	2	1998	321	8	0	3	0
1	2	1998	321	8	0	2	0
1	2	1998	321	8	0	4	0
1	2	1998	321	8	1	3	1490
1	2	1998	321	8	1	2	1240
1	2	1998	321	8	1	4	0
2	1	1998	321	8	1	3	670
2	1	1998	321	8	1	2	894
1	2	1998	321	8	2	2	860
1	2	1998	321	8	2	1	0
1	2	1998	321	8	2	3	670
2	1	1998	321	8	2	2	1119
2	1	1998	321	8	2	3	751
1	2	1998	326	9	0	4	0
1	2	1998	326	9	0	3	0
1	2	1998	326	9	0	2	0
1	2	1998	326	9	1	3	250
1	2	1998	326	9	1	2	100
1	2	1998	326	9	1	4	0
2	1	1998	326	9	1	3	310
2	1	1998	326	9	1	2	120
1	2	1998	326	9	2	2	30
1	2	1998	326	9	2	1	0
1	2	1998	326	9	2	3	50
